qc_id,objectid_1,join_count,target_fid,objectid,layer,name,elev,invert_el,max_depth,uwagi,id_well,uwagi2,uwagi22,id,h_m,uwagi3,elevk,invert_elk,gid,icon_url
"152","161","1","160",161,właz okrągły - siec kanalizacyjna (punkt),K25,231.33,227.63,"0",,"161",,,"161",3.7,,231.3,227.56,"13156",./0.png
"153","162","1","161",162,właz okrągły - siec kanalizacyjna (punkt),K26,231.29,227.37,"0",,"162",,,"162",3.92,,231.27,227.33,"13157",./0.png
"154","163","1","162",163,właz okrągły - siec kanalizacyjna (punkt),K27,231.07,227.13,"0",,"163",,,"163",3.94,,231.06,227.09,"13150",./0.png
"155","164","1","163",164,właz okrągły - siec kanalizacyjna (punkt),K28,230.81,226.94,"0",,"164",,,"164",3.87,,230.79,226.91,"13151",./0.png
"156","165","1","164",165,właz okrągły - siec kanalizacyjna (punkt),K29,230.55,226.64,"0",,"165",,,"165",3.91,,230.54,226.63,"13149",./0.png
"157","166","1","165",166,właz okrągły - siec kanalizacyjna (punkt),K30,229.84,226.43,"0",,"166",,,"166",3.41,,229.84,225.93,"13146",./0.png
"158","167","1","166",167,właz okrągły - siec kanalizacyjna (punkt),K31,229.46,226.2,"0",,"167",,,"167",3.26,,229.46,226.16,"13147",./0.png
"159","168","1","167",168,właz okrągły - siec kanalizacyjna (punkt),K32,229.25,225.75,"0",,"168",,,"168",3.5,,229.24,225.74,"13148",./0.png
"160","169","1","168",169,właz okrągły - siec kanalizacyjna (punkt),K33,228.72,225.49,"0",,"169",,,"169",3.23,,228.73,225.43,"13145",./0.png
"161","170","1","169",170,właz okrągły - siec kanalizacyjna (punkt),K34,228,225.03,"0",,"170",,,"170",2.97,,227.99,225.01,"29959",./0.png
"162","171","1","170",171,właz okrągły - siec kanalizacyjna (punkt),K6,232.66,229.29,"0",,"171",,,"171",3.37,,232.64,229.23,"13142",./0.png
"163","172","1","171",172,właz okrągły - siec kanalizacyjna (punkt),K4,232.32,229.48,"0",,"172",,,"172",2.84,,232.3,229.42,"13143",./0.png
"164","173","1","172",173,właz okrągły - siec kanalizacyjna (punkt),K3,232.01,229.71,"0",,"173",,,"173",2.3,,0,0,"129130",./0.png
"165","174","1","173",174,właz okrągły - siec kanalizacyjna (punkt),K2,231.66,229.88,"0",,"174",,,"174",1.78,,0,0,"129129",./0.png
"166","175","1","174",175,właz okrągły - siec kanalizacyjna (punkt),K1,231.32,230.06,"0",,"175",,,"175",1.26,,0,0,"129128",./0.png
"167","176","1","175",176,właz okrągły - siec kanalizacyjna (punkt),K7A,233.05,229.21,"0",,"176",,,"176",3.84,,232.02,228.15,"13144",./0.png
"168","177","1","176",177,właz okrągły - siec kanalizacyjna (punkt),KD6,217.63,215.03,"0",,"177",,,"177",2.6,,0,0,"126595",./0.png
"169","178","1","177",178,właz okrągły - siec kanalizacyjna (punkt),KD41,218.57,216.21,"0",,"178",,,"178",2.36,,0,0,"126596",./0.png
"170","179","1","178",179,właz okrągły - siec kanalizacyjna (punkt),KD0200,222.29,220.34,"0",,"179",,,"179",1.95,,0,0,"126599",./0.png
"171","180","1","179",180,właz okrągły - siec kanalizacyjna (punkt),KD200,220.07,217.94,"0",,"180",,,"180",2.13,,0,0,"126597",./0.png
"172","181","1","180",181,właz okrągły - siec kanalizacyjna (punkt),K13,232,229.48,"0",,"181",,,"181",2.52,,0,0,"96135",./0.png
"173","182","1","181",182,właz okrągły - siec kanalizacyjna (punkt),K12A,231.9,229.4,"0",,"182",,,"182",2.5,,0,0,"96133",./0.png
"174","183","1","182",183,właz okrągły - siec kanalizacyjna (punkt),K11A,231.62,229.04,"0",,"183",,,"183",2.58,,0,0,"96134",./0.png
"175","185","1","184",185,właz okrągły - siec kanalizacyjna (punkt),K89,227.48,226.49,"0",,"185",+nie odnaleziono,,"185",0.99,,227.47,225.76,"39153",./0.png
"176","186","1","185",186,właz okrągły - siec kanalizacyjna (punkt),K10A,231.29,228.51,"0",,"186",,,"186",2.78,,,,,./0.png
"177","188","1","187",188,właz okrągły - siec kanalizacyjna (punkt),K88A,229.39,227.44,"0",,"188",,,"188",1.95,,229.34,227.35,"15991",./0.png
"178","189","1","188",189,właz okrągły - siec kanalizacyjna (punkt),K9A,230.98,228.45,"0",,"189",,,"189",2.53,,0,0,"96131",./0.png
"179","190","1","189",190,właz okrągły - siec kanalizacyjna (punkt),K88,229.69,227.73,"0",,"190",,,"190",1.96,,229.75,227.75,"15992",./0.png
"180","191","1","190",191,właz okrągły - siec kanalizacyjna (punkt),K87,229.74,227.79,"0",,"191",,,"191",1.95,,229.78,227.77,"15993",./0.png
"181","192","1","191",192,właz okrągły - siec kanalizacyjna (punkt),K86,229.85,227.95,"0",,"192",,,"192",1.9,,229.86,227.95,"15994",./0.png
"182","193","1","192",193,właz okrągły - siec kanalizacyjna (punkt),K85,229.99,228.09,"0",,"193",,,"193",1.9,,230.04,228.09,"15997",./0.png
"183","194","1","193",194,właz okrągły - siec kanalizacyjna (punkt),K84,230.17,228.41,"0",,"194",,,"194",1.76,,230.33,228.45,"21593",./0.png
"184","195","1","194",195,właz okrągły - siec kanalizacyjna (punkt),K83,230.27,228.51,"0",,"195",+brak mozliwości otwarcia,,"195",1.76,,230.38,228.56,"15998",./0.png
"185","196","1","195",196,właz okrągły - siec kanalizacyjna (punkt),K8A,230.73,228.23,"0",,"196",,,"196",2.5,,,,,./0.png
"186","197","1","196",197,właz okrągły - siec kanalizacyjna (punkt),K95,227.4,224.38,"0",,"197",+nie odnaleziono,,"197",3.02,,227.12,224.39,"15985",./0.png
"187","198","1","197",198,właz okrągły - siec kanalizacyjna (punkt),K7,230.75,227.98,"0",,"198",,,"198",2.77,,0,0,"96129",./0.png
"188","199","1","198",199,właz okrągły - siec kanalizacyjna (punkt),K96,227.74,223.9,"0",,"199",+nie odnaleziono,,"199",3.84,,227.52,223.9,"15984",./0.png
"189","200","1","199",200,właz okrągły - siec kanalizacyjna (punkt),K97,227.74,224.36,"0",,"200",+nie odnaleziono,,"200",3.38,,227.73,224.36,"15995",./0.png
"190","201","1","200",201,właz okrągły - siec kanalizacyjna (punkt),K98,228.35,225.29,"0",,"201",,,"201",3.06,,228.32,226.17,"15986",./0.png
"191","202","1","201",202,właz okrągły - siec kanalizacyjna (punkt),K99,229.49,227.49,"0",,"202",,,"202",2,,229.43,227.5,"15988",./0.png
"192","203","1","202",203,właz okrągły - siec kanalizacyjna (punkt),K100,229.7,227.9,"0",,"203",,,"203",1.8,,229.7,227.9,"15989",./0.png
"193","204","1","203",204,właz okrągły - siec kanalizacyjna (punkt),K102,229.96,228.11,"0",,"204",,,"204",1.85,,229.92,228.14,"15996",./0.png
"194","205","1","204",205,właz okrągły - siec kanalizacyjna (punkt),K103,229.97,227.33,"0",,"205",,,"205",2.64,,0,0,"96124",./0.png
"195","206","1","205",206,właz okrągły - siec kanalizacyjna (punkt),K105,229.62,226.87,"0",,"206",,,"206",2.75,,0,0,"96125",./0.png
"196","207","1","206",207,właz okrągły - siec kanalizacyjna (punkt),K118,226.18,222.65,"0",,"207",+brak mozliwości otwarcia,,"207",3.53,,226.06,222.66,"15881",./0.png
"197","208","1","207",208,właz okrągły - siec kanalizacyjna (punkt),K22,229.3,226.55,"0",,"208",+BRAK MOZLIWOSCI OTWARCIA,,"208",2.75,,0,0,"96126",./0.png
"198","209","1","208",209,właz okrągły - siec kanalizacyjna (punkt),K111,228.91,227.34,"0",,"209",,,"209",1.57,,,,,./0.png
"199","210","1","209",210,właz okrągły - siec kanalizacyjna (punkt),K112,228.7,225.88,"0",,"210",,,"210",2.82,,0,0,"96128",./0.png
"200","211","1","210",211,właz okrągły - siec kanalizacyjna (punkt),K21,228.83,225.95,"0",,"211",,,"211",2.88,,0,0,"96127",./0.png
"201","212","1","211",212,właz okrągły - siec kanalizacyjna (punkt),K113,227.94,225.65,"0",,"212",,,"212",2.29,,0,0,"126605",./0.png
"202","213","1","212",213,właz okrągły - siec kanalizacyjna (punkt),K114,227.17,225.49,"0",,"213",,,"213",1.68,,0,0,"126604",./0.png
"203","214","1","213",214,właz okrągły - siec kanalizacyjna (punkt),K115,226.53,224.95,"0",,"214",,,"214",1.58,,0,0,"126603",./0.png
"204","215","1","214",215,właz okrągły - siec kanalizacyjna (punkt),K116,225.67,224.01,"0",dane archiwalne,"215",+zasfaltowana + dane archiwalne,,"215",1.66,,0,0,"126602",./0.png
